"Rk,Player,SCA,SCA90,PassLive,PassDead,Drib,Sh,GCA,GCA90,PassLive,PassDead,Drib,Sh"
"212,Odion Ighalo\03622183,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"213,Kelechi Iheanacho\c92e1a31,44,2.71,36,0,6,1,3,0.19,2,0,1,0"
"214,Danny Ings\07802f7f,57,2.36,42,0,9,4,10,0.41,5,0,3,2"
"215,Branislav Ivanovi?\85f8571a,1,0.12,1,0,0,0,0,0.00,0,0,0,0"
"216,Alex Iwobi\6ca5ec4b,46,2.68,40,0,2,2,5,0.29,5,0,0,0"
"217,José Izquierdo\ca2bc3df,1,10.00,1,0,0,0,0,0.00,0,0,0,0"
"218,Phil Jagielka\3233eefd,1,0.17,1,0,0,0,0,0.00,0,0,0,0"
"219,Alireza Jahanbakhsh\08452314,20,3.41,17,0,1,1,1,0.17,1,0,0,0"
"220,Daniel James\c931d9f9,16,1.58,14,0,0,0,3,0.30,3,0,0,0"
"221,Reece James\1265a93a,74,2.81,54,9,3,1,5,0.19,3,1,0,0"
"222,Alexandre Jankewitz\7c39363f,1,30.00,1,0,0,0,0,0.00,0,0,0,0"
"223,Daniel Jebbison\03edb878,4,1.27,1,0,0,1,0,0.00,0,0,0,0"
"224,Gabriel Jesus\b66315ae,71,3.10,48,0,7,7,11,0.48,9,0,1,1"
"225,Raúl Jiménez\b561db50,22,2.41,11,0,3,4,4,0.44,1,0,1,2"
"226,Joelinton\c17bfb65,52,2.36,31,0,6,2,8,0.36,3,0,2,1"
"227,Ben Johnson\9319781b,5,0.86,5,0,0,0,0,0.00,0,0,0,0"
"228,Sam Johnstone\9e5708be,3,0.08,2,1,0,0,1,0.03,1,0,0,0"
"229,Curtis Jones\4fb9c88f,37,2.82,30,0,2,0,4,0.31,4,0,0,0"
"230,Jorginho\45db685d,51,2.28,48,0,1,0,3,0.13,3,0,0,0"
"231,Willian José\d87e2cae,19,1.54,13,0,1,2,1,0.08,0,0,0,0"
"232,Diogo Jota\178ae8f8,34,2.75,20,0,2,5,3,0.24,1,0,1,0"
"233,James Justin\fb614c44,48,2.09,37,2,3,0,7,0.30,5,0,1,0"
"234,Ozan Kabak\2d61d13a,1,0.11,1,0,0,0,0,0.00,0,0,0,0"
