"Rk,Player,Cmp%,TotDist,PrgDist,Cmp%,Cmp%,Cmp%,KP,1/3,PPA,CrsPA,Prog"
"223,Daniel Jebbison\03edb878,70.6,308,38,76.2,66.7,50.0,1,2,0,0,1"
"224,Gabriel Jesus\b66315ae,84.6,8741,1055,88.7,85.7,72.7,28,23,14,1,31"
"225,Raúl Jiménez\b561db50,78.7,3241,561,84.0,81.3,68.8,8,16,9,0,19"
"226,Joelinton\c17bfb65,73.9,6190,1191,83.1,73.9,60.0,17,17,9,2,26"
"227,Ben Johnson\9319781b,70.3,2655,1075,91.5,69.7,42.5,4,12,3,3,15"
"228,Sam Johnstone\9e5708be,49.9,26989,18771,100.0,94.8,39.3,1,26,0,0,0"
"229,Curtis Jones\4fb9c88f,91.2,15013,3201,93.1,94.7,81.9,13,97,22,2,66"
"230,Jorginho\45db685d,89.5,27960,6525,93.5,91.4,73.4,24,140,20,1,115"
"231,Willian José\d87e2cae,81.4,4406,570,86.4,85.1,82.1,11,14,3,0,12"
"232,Diogo Jota\178ae8f8,72.5,5377,1228,81.8,74.2,61.2,12,33,14,0,46"
"233,James Justin\fb614c44,79.2,16540,5520,89.0,83.1,48.6,18,56,33,7,92"
"234,Ozan Kabak\2d61d13a,90.6,10365,2683,93.3,97.0,70.4,1,16,0,0,15"
"235,Aboubakar Kamara\4047c976,71.9,1504,409,80.7,85.4,33.3,6,4,4,1,11"
"236,Harry Kane\21a66f6a,70.1,12519,3835,77.9,74.7,60.0,48,98,41,7,125"
"237,N'Golo Kanté\b9fbae28,86.6,23870,5264,88.9,91.0,73.9,21,99,12,1,101"
"238,Moise Kean\3d50bcdb,77.8,124,0,66.7,100.0,100.0,0,0,0,0,0"
"239,Michael Keane\c5b7c315,88.9,37031,11779,90.8,94.9,74.2,8,104,6,0,87"
"240,Neeskens Kebano\18b999f4,78.6,409,99,100.0,54.5,33.3,0,1,0,0,2"
"241,Naby Keïta\f25c8e3a,87.4,5328,1190,86.1,94.3,77.1,6,31,10,1,32"
"242,Caoimhín Kelleher\62d7ef38,82.3,1459,732,100.0,100.0,63.3,0,0,0,0,0"
"243,Martin Kelly\d7492450,100.0,28,5,100.0,,,0,0,0,0,0"
"244,Jonjoe Kenny\099e666f,77.0,783,221,96.6,65.0,75.0,0,3,1,0,4"
"245,Reda Khadra\88acf83f,0.0,0,0,0.0,,,0,0,0,0,0"
"246,Max Kilman\d0f72bf1,88.6,12284,4172,95.0,93.4,59.6,4,52,2,0,40"
"247,Joshua King\43458538,70.8,561,108,69.6,83.3,75.0,0,0,1,0,4"
"248,Mateusz Klich\282679b4,79.3,20394,5286,87.1,82.6,61.5,46,105,41,6,140"
"249,Robin Koch\ea6bc03a,85.6,13825,4119,83.4,94.9,63.0,4,36,3,0,44"
"250,Sead Kolašinac\3935e52e,84.4,801,177,85.7,91.7,33.3,0,3,1,0,4"
"251,Terence Kongolo\1f9a3a04,94.9,723,293,92.3,95.7,100.0,1,3,1,1,3"
"252,Ezri Konsa\0313a347,86.5,24313,5976,88.0,93.5,72.1,1,38,2,0,36"
"253,Cheikhou Kouyaté\8d3c902d,78.8,19698,6299,85.1,87.1,59.7,6,39,3,1,33"
"254,Mateo Kova?i?\79c0821a,91.0,30881,7418,93.1,93.8,81.2,23,164,24,0,165"
"255,Emil Krafth\77cf6852,72.5,7198,3240,83.3,75.2,52.2,6,23,3,3,19"
"256,Filip Krovinovi?\c2dfedeb,84.4,5338,1511,89.2,87.0,70.5,5,37,7,0,40"
"257,Alexandre Lacazette\9dbb75ca,78.2,6066,1247,79.5,85.4,61.4,18,24,21,0,46"
"258,Adam Lallana\99813635,84.7,12397,2974,89.8,86.7,67.5,27,58,28,3,83"
"259,Érik Lamela\abe66106,78.5,4889,1022,86.4,83.8,63.0,8,22,10,0,29"
"260,Tariq Lamptey\f4e433d4,78.0,6346,1711,89.3,75.0,57.1,11,12,12,7,27"
"261,Manuel Lanzini\26f6dca8,88.9,5291,1311,92.1,91.7,67.7,11,25,4,0,20"
"262,Aymeric Laporte\119b9a8e,92.0,24147,6963,94.9,95.9,79.9,4,108,5,0,72"
"263,Jamaal Lascelles\450ab6fc,81.3,10618,3333,89.0,91.3,56.0,1,30,5,0,32"
"264,Maxime Le Marchand\321a71a7,95.1,1841,642,100.0,95.6,88.9,0,3,1,0,6"
"265,Mario Lemina\2b471f99,85.3,15079,3711,87.8,89.7,71.2,10,60,15,1,56"
"266,Bernd Leno\2628fd2b,79.8,22005,11152,100.0,99.3,46.0,0,5,0,0,2"
"267,Khanya Leshabela\383e68b1,77.8,98,38,80.0,100.0,100.0,0,1,0,0,1"
"268,Jamal Lewis\efb9215a,76.2,11069,4545,88.0,80.5,50.4,15,34,16,10,31"
