"Rk,Player,Pos,MP,Starts,Min,90s,Ast,G-PK,PK,CrdY,CrdR,xG,npxG,xA,npxG+xA"
"146,Ahmed Elmohamady\615ef733,DF,14,8,839,9.3,0,0,0,2,0,0.5,0.5,0.6,1.1"
"147,Mohamed Elneny\47a34c4f,MF,23,17,1544,17.2,0,1,0,3,0,0.5,0.5,0.2,0.7"
"148,Jonny Evans\f8fcd2a5,DF,28,28,2473,27.5,2,2,0,7,0,1.7,1.7,0.3,2.0"
"149,Eberechi Eze\ae4fc6a4,MF,34,29,2559,28.4,6,4,0,3,0,2.2,2.2,2.8,5.1"
"150,?ukasz Fabia?ski\9328b835,GK,35,35,3150,35.0,0,0,0,2,0,0.0,0.0,0.0,0.0"
"151,Fabinho\7f3b388c,DFMF,30,28,2567,28.5,0,0,0,6,0,0.4,0.4,0.4,0.8"
"152,Bruno Fernandes\507c7bdf,MF,37,35,3099,34.4,12,9,9,6,0,15.4,7.8,11.0,18.8"
"153,Federico Fernández\f25b010f,DF,24,24,2079,23.1,0,0,0,4,0,0.3,0.3,0.3,0.6"
"154,Fernandinho\101da2b5,MF,21,12,1188,13.2,2,0,0,6,0,0.8,0.8,0.9,1.7"
"155,Sam Field\bd8a7d05,MF,3,0,62,0.7,0,0,0,0,0,0.0,0.0,0.0,0.0"
"156,Roberto Firmino\4c370d81,FW,36,33,2838,31.5,7,9,0,2,0,12.6,12.6,6.4,19.0"
"157,John Fleck\b63e789d,MF,31,29,2575,28.6,2,0,0,4,0,0.9,0.9,2.7,3.5"
"158,Phil Foden\ed1e53f3,FWMF,28,17,1616,18.0,5,9,0,0,0,5.5,5.5,4.1,9.7"
"159,Wesley Fofana\132a82f1,DF,28,27,2262,25.1,0,0,0,7,0,1.0,1.0,0.3,1.3"
"160,Pablo Fornals\82927de4,FWMF,33,31,2572,28.6,4,5,0,3,0,6.5,6.5,2.5,9.0"
"161,Fraser Forster\c3e39f12,GK,8,8,720,8.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"162,Timothy Fosu-Mensah\a9142dc3,DF,1,1,80,0.9,0,0,0,1,0,0.0,0.0,0.3,0.3"
"163,Tyrese Francois\6722d4f0,DF,1,0,15,0.2,0,0,0,0,0,0.0,0.0,0.0,0.0"
