"Rk,Player,Att 3rd,Att Pen,Succ,Att,Succ%,#Pl,Megs,PrgDist,Prog,1/3,CPA,Mis,Dis"
"258,Adam Lallana\99813635,382,70,15,24,62.5,15,0,1916,81,21,12,18,17"
"259,Érik Lamela\abe66106,203,26,17,25,68.0,17,0,1227,73,28,2,12,20"
"260,Tariq Lamptey\f4e433d4,249,33,17,34,50.0,18,2,1683,85,31,13,16,15"
"261,Manuel Lanzini\26f6dca8,152,16,8,12,66.7,8,0,839,32,14,1,7,13"
"262,Aymeric Laporte\119b9a8e,69,9,3,3,100.0,3,0,4084,140,21,0,3,2"
"263,Jamaal Lascelles\450ab6fc,36,17,2,3,66.7,2,0,687,14,0,0,2,1"
"264,Maxime Le Marchand\321a71a7,4,0,0,0,,0,0,147,2,1,0,0,0"
"265,Mario Lemina\2b471f99,187,11,28,39,71.8,30,3,2114,85,18,1,17,25"
"266,Bernd Leno\2628fd2b,1,1,0,0,,0,0,1298,0,0,0,0,0"
"267,Khanya Leshabela\383e68b1,3,0,0,0,,0,0,65,2,1,0,0,0"
"268,Jamal Lewis\efb9215a,241,9,14,27,51.9,14,1,1372,43,18,1,6,16"
"269,Victor Lindelöf\f5deef4c,89,10,2,4,50.0,2,0,5041,113,24,0,2,6"
"270,Jesse Lingard\810e3c74,427,51,21,49,42.9,23,3,2523,120,49,16,30,29"
"271,Jake Livermore\b98570d1,69,8,2,6,33.3,2,0,404,15,4,0,6,8"
"272,Diego Llorente\bba30585,20,9,5,5,100.0,5,0,2231,32,2,0,2,7"
"273,Hugo Lloris\8f62b6ee,0,0,1,1,100.0,1,0,1070,0,0,0,0,0"
"274,Giovani Lo Celso\d7553721,251,25,14,19,73.7,14,2,1456,59,23,6,11,25"
"275,Ruben Loftus-Cheek\e97fd090,5,0,0,4,0.0,0,1,46,1,1,0,2,1"
"276,Ruben Loftus-Cheek\e97fd090,370,75,47,76,61.8,51,3,2666,109,38,13,57,40"
"277,Kevin Long\5a4280b1,10,7,0,0,,0,0,161,1,0,0,1,0"
"278,Shane Long\9f472354,41,7,3,6,50.0,3,0,33,3,0,0,7,9"
"279,Matthew Longstaff\c0027d2d,32,1,1,1,100.0,1,0,98,1,2,0,1,1"
"280,Sean Longstaff\a2b105e0,178,21,4,8,50.0,5,0,723,23,6,1,9,7"
"281,Ademola Lookman\7c104bb7,871,144,83,130,63.8,87,9,3891,220,63,41,78,84"
"282,Max Lowe\7af88b33,115,11,7,10,70.0,7,0,355,20,2,3,3,7"
"283,Matthew Lowton\9a9c05db,472,22,24,36,66.7,26,2,2740,108,48,4,19,23"
"284,David Luiz\c0e27d1a,65,19,2,4,50.0,2,0,3380,80,19,2,2,1"
"285,Douglas Luiz\6f7d826d,330,22,24,33,72.7,25,1,3334,111,35,2,11,19"
"286,John Lundstram\0df2b165,457,33,16,25,64.0,18,1,1780,74,33,2,20,21"
"287,Alexis Mac Allister\83d074ff,240,38,15,25,60.0,16,0,869,42,15,2,20,18"
"288,James Maddison\ee38d9c5,706,69,32,55,58.2,34,1,2436,148,41,14,42,43"
